Run;File;n_obs;load_ms;exec_ms
66;NEABT_input_10000.pl;10000;477;143
67;NEABT_input_100.pl;100;4;1
67;NEABT_input_500.pl;500;21;7
67;NEABT_input_1000.pl;1000;46;14
67;NEABT_input_2000.pl;2000;90;26
67;NEABT_input_5000.pl;5000;230;71
67;NEABT_input_10000.pl;10000;470;147
68;NEABT_input_100.pl;100;4;1
68;NEABT_input_500.pl;500;21;8
68;NEABT_input_1000.pl;1000;43;13
68;NEABT_input_2000.pl;2000;89;28
68;NEABT_input_5000.pl;5000;217;72
68;NEABT_input_10000.pl;10000;478;142
69;NEABT_input_100.pl;100;5;1
69;NEABT_input_500.pl;500;24;13
69;NEABT_input_1000.pl;1000;46;14
69;NEABT_input_2000.pl;2000;87;27
69;NEABT_input_5000.pl;5000;218;88
69;NEABT_input_10000.pl;10000;479;136
70;NEABT_input_100.pl;100;4;1
70;NEABT_input_500.pl;500;21;7
70;NEABT_input_1000.pl;1000;42;14
70;NEABT_input_2000.pl;2000;89;27
70;NEABT_input_5000.pl;5000;227;66
70;NEABT_input_10000.pl;10000;483;139
71;NEABT_input_100.pl;100;5;1
71;NEABT_input_500.pl;500;25;11
71;NEABT_input_1000.pl;1000;56;14
71;NEABT_input_2000.pl;2000;88;37
71;NEABT_input_5000.pl;5000;219;70
71;NEABT_input_10000.pl;10000;501;136
72;NEABT_input_100.pl;100;4;1
72;NEABT_input_500.pl;500;23;7
72;NEABT_input_1000.pl;1000;45;14
72;NEABT_input_2000.pl;2000;84;36
72;NEABT_input_5000.pl;5000;248;75
72;NEABT_input_10000.pl;10000;513;142
73;NEABT_input_100.pl;100;4;1
73;NEABT_input_500.pl;500;22;7
73;NEABT_input_1000.pl;1000;43;15
73;NEABT_input_2000.pl;2000;99;28
73;NEABT_input_5000.pl;5000;234;69
73;NEABT_input_10000.pl;10000;469;139
74;NEABT_input_100.pl;100;4;1
74;NEABT_input_500.pl;500;20;8
74;NEABT_input_1000.pl;1000;42;14
74;NEABT_input_2000.pl;2000;86;28
74;NEABT_input_5000.pl;5000;222;68
74;NEABT_input_10000.pl;10000;482;138
75;NEABT_input_100.pl;100;4;1
75;NEABT_input_500.pl;500;22;6
75;NEABT_input_1000.pl;1000;41;13
75;NEABT_input_2000.pl;2000;83;27
75;NEABT_input_5000.pl;5000;212;78
75;NEABT_input_10000.pl;10000;523;138
76;NEABT_input_100.pl;100;4;2
76;NEABT_input_500.pl;500;22;7
76;NEABT_input_1000.pl;1000;45;14
76;NEABT_input_2000.pl;2000;90;29
76;NEABT_input_5000.pl;5000;219;76
76;NEABT_input_10000.pl;10000;515;156
77;NEABT_input_100.pl;100;4;1
77;NEABT_input_500.pl;500;22;7
77;NEABT_input_1000.pl;1000;44;15
77;NEABT_input_2000.pl;2000;84;28
77;NEABT_input_5000.pl;5000;222;73
